FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SAC,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2021,1,-99,-99,0.25,1.4,0.59,0.53,-99,-99,0.28,0.39,-99,0.09,-99,-99,0.93,0.58,0.62,0.24,0.76,0.34,1.41,0.42,0.24,0.43,-99,-99,0.5,-99,0.31,0.22,1.46,-99
1/1/2021,2,-99,-99,0.56,1.22,0.97,0.52,-99,-99,0.47,0.31,-99,0.08,-99,-99,0.77,0.67,0.7,0.29,0.53,0.34,0.77,0.4,0.22,0.42,-99,-99,0.48,-99,0.51,0.48,1.6,-99
1/1/2021,3,-99,-99,0.51,0.71,0.78,0.54,-99,-99,0.72,0.42,-99,0.07,-99,-99,0.5,0.61,0.95,0.19,0.43,0.27,0.46,0.43,0.37,0.39,-99,-99,0.6,-99,0.55,0.35,2.32,-99
1/1/2021,4,-99,-99,0.64,0.88,1.04,0.57,-99,-99,0.68,0.48,-99,0.06,-99,-99,0.52,0.77,0.98,0.15,0.41,0.34,0.42,0.52,0.33,0.4,-99,-99,0.61,-99,0.64,0.5,2.95,-99
1/1/2021,5,-99,-99,0.71,0.72,0.57,0.61,-99,-99,0.81,0.37,-99,0.04,-99,-99,0.72,0.73,0.91,0.16,0.14,0.31,0.48,0.43,0.8,0.46,-99,-99,0.63,-99,0.61,0.44,2.02,-99
1/1/2021,6,-99,-99,0.68,0.92,0.78,0.57,-99,-99,0.9,0.44,-99,0.03,-99,-99,0.69,0.7,0.71,0.17,0.09,0.4,0.51,0.7,0.4,0.43,-99,1.05,0.67,-99,0.65,0.55,1.48,-99
1/1/2021,7,-99,-99,0.5,0.77,0.86,0.54,-99,-99,0.86,0.75,-99,0.02,-99,-99,0.76,0.98,0.61,0.1,0.06,0.85,0.56,0.86,1.39,0.38,-99,0.61,0.53,-99,0.69,0.57,1.98,-99
1/1/2021,8,-99,-99,0.49,0.6,1.1,0.52,-99,-99,0.85,0.82,-99,0.01,-99,-99,0.56,0.87,0.51,0.66,0.08,1.07,0.5,1.26,0.87,0.41,-99,0.65,0.51,-99,1.01,0.56,1.91,-99
1/1/2021,9,-99,-99,0.58,0.51,0.93,0.52,-99,-99,0.8,0.85,-99,0.03,-99,-99,0.36,0.86,0.43,0.63,0.1,1,0.47,1.51,0.9,0.4,-99,0.76,0.6,-99,0.81,0.59,1.4,-99
1/1/2021,10,-99,-99,0.53,0.42,0.63,0.25,-99,-99,0.63,0.42,-99,0.06,-99,-99,0.5,0.6,0.28,0.32,0.1,0.42,0.34,0.59,0.82,0.29,-99,0.65,0.61,-99,0.39,0.43,1.07,-99
